"TV Hours","Gender"
"Under25","Male"
"Under25","Male"
"Under25","Female"
"Over25","Female"
"Under25","Female"
"Under25","Male"
"Over25","Female"
"Over25","Female"
"Under25","Female"
"Over25","Female"
"Over25","Female"
"Under25","Male"
"Over25","Male"
"Under25","Female"
"Under25","Male"
"Under25","Female"
"Over25","Male"
"Over25","Female"
"Under25","Male"
"Over25","Female"
"Under25","Male"
"Under25","Male"
"Under25","Male"
"Over25","Female"
"Over25","Male"
"Under25","Male"
"Under25","Male"
"Under25","Female"
"Over25","Female"
"Under25","Female"
"Over25","Female"
"Over25","Male"
"Under25","Female"
"Over25","Female"
"Over25","Female"
"Under25","Female"
"Over25","Female"
"Over25","Female"
"Over25","Female"
"Under25","Female"
"Over25","Male"
"Over25","Female"
"Under25","Female"
"Under25","Male"
"Over25","Female"
"Under25","Female"
"Over25","Female"
"Over25","Male"
"Over25","Female"
"Over25","Female"
"Over25","Female"
"Over25","Female"
"Over25","Male"
"Over25","Female"
"Under25","Male"
"Under25","Male"
"Under25","Female"
"Over25","Female"
"Under25","Male"
"Under25","Male"
"Over25","Male"
"Under25","Female"
"Under25","Male"
"Over25","Male"
"Over25","Male"
"Under25","Male"
"Under25","Male"
"Under25","Female"
"Over25","Female"
"Under25","Male"
"Over25","Female"
"Under25","Male"
"Over25","Female"
"Under25","Female"
"Under25","Female"
"Over25","Female"
"Over25","Female"
"Over25","Male"
"Over25","Male"
"Under25","Male"
"Under25","Male"
"Over25","Male"
"Under25","Male"
"Under25","Male"
"Under25","Female"
"Over25","Male"
"Over25","Male"
"Under25","Male"
"Under25","Female"
"Under25","Male"
