"Education","Number of Children"
"Elementary","0-1"
"Secondary","0-1"
"Elementary","2-3"
"College","0-1"
"Elementary","2-3"
"College","0-1"
"Elementary","2-3"
"College","0-1"
"Secondary","2-3"
"Elementary","Over3"
"Elementary","0-1"
"Secondary","2-3"
"Elementary","Over3"
"Elementary","2-3"
"Elementary","0-1"
"Secondary","0-1"
"Elementary","2-3"
"Secondary","0-1"
"Secondary","0-1"
"College","0-1"
"Secondary","Over3"
"Secondary","0-1"
"Secondary","Over3"
"Elementary","2-3"
"Secondary","2-3"
"Secondary","2-3"
"Secondary","0-1"
"Secondary","0-1"
"Secondary","Over3"
"Elementary","Over3"
"Secondary","2-3"
"Secondary","0-1"
"Secondary","2-3"
"Elementary","2-3"
"Elementary","2-3"
"Elementary","Over3"
"Secondary","Over3"
"College","2-3"
"Elementary","0-1"
"Elementary","2-3"
"Secondary","0-1"
"Secondary","0-1"
"Elementary","Over3"
"Secondary","2-3"
"College","0-1"
"Elementary","2-3"
"College","Over3"
"Elementary","2-3"
"College","Over3"
"Secondary","2-3"
"Secondary","Over3"
"Elementary","2-3"
"Elementary","2-3"
"Elementary","Over3"
"College","2-3"
"College","2-3"
"Secondary","2-3"
"Secondary","2-3"
"College","0-1"
"Secondary","2-3"
"Elementary","Over3"
"Secondary","Over3"
"Elementary","2-3"
"Elementary","Over3"
"Elementary","0-1"
"College","Over3"
"Secondary","Over3"
"Elementary","Over3"
"Elementary","Over3"
"College","2-3"
"College","2-3"
"Elementary","Over3"
"Secondary","Over3"
"Elementary","2-3"
"Secondary","2-3"
"College","Over3"
"College","Over3"
"College","Over3"
"Elementary","2-3"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","0-1"
"Secondary","2-3"
"College","2-3"
"Elementary","Over3"
"Secondary","0-1"
"Secondary","2-3"
"Elementary","0-1"
"Elementary","Over3"
"Elementary","2-3"
"Elementary","Over3"
"College","0-1"
"Secondary","2-3"
"Secondary","0-1"
"Secondary","Over3"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","2-3"
"Elementary","2-3"
"Elementary","Over3"
"College","0-1"
"College","2-3"
"College","2-3"
"College","2-3"
"Secondary","2-3"
"College","0-1"
"Secondary","0-1"
"Elementary","2-3"
"Elementary","Over3"
"College","0-1"
"Elementary","Over3"
"Elementary","2-3"
"Secondary","Over3"
"College","2-3"
"Secondary","0-1"
"Elementary","Over3"
"Elementary","2-3"
"College","2-3"
"Secondary","2-3"
"Elementary","2-3"
"Elementary","Over3"
"Elementary","2-3"
"Secondary","2-3"
"Elementary","Over3"
"Secondary","2-3"
"Secondary","0-1"
"Elementary","Over3"
"Secondary","2-3"
"Secondary","Over3"
"College","2-3"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","Over3"
"Elementary","Over3"
"Secondary","2-3"
"Elementary","2-3"
"Secondary","Over3"
"College","2-3"
"Elementary","0-1"
"Secondary","2-3"
"College","2-3"
"Secondary","2-3"
"College","2-3"
"Secondary","2-3"
"College","2-3"
"Elementary","2-3"
"Elementary","Over3"
"College","Over3"
"Secondary","2-3"
"Elementary","Over3"
"Secondary","Over3"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","0-1"
"Secondary","0-1"
"Secondary","0-1"
"Elementary","0-1"
"College","2-3"
"College","0-1"
"Elementary","2-3"
"College","Over3"
"Elementary","0-1"
"Secondary","0-1"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","Over3"
"Elementary","2-3"
"Elementary","0-1"
"Elementary","2-3"
"College","Over3"
"Elementary","Over3"
"Elementary","Over3"
"Secondary","2-3"
"Secondary","2-3"
"Elementary","Over3"
"Elementary","2-3"
"Elementary","Over3"
"Elementary","2-3"
"Secondary","Over3"
"Secondary","2-3"
"College","0-1"
"Elementary","2-3"
"Elementary","Over3"
"Elementary","Over3"
"Elementary","2-3"
"Elementary","2-3"
"Secondary","2-3"
"Elementary","2-3"
"Secondary","2-3"
"Elementary","2-3"
"Secondary","2-3"
"Elementary","0-1"
"Secondary","Over3"
"Secondary","2-3"
"Secondary","0-1"
"Elementary","0-1"
"Elementary","2-3"
"College","Over3"
"Secondary","Over3"
"Secondary","Over3"
