"District","Type of Crime"
1,"Larceny"
4,"Larceny"
2,"Larceny"
4,"Burglary"
3,"Assault"
4,"Assault"
3,"Larceny"
1,"Larceny"
1,"Larceny"
2,"Larceny"
2,"Larceny"
3,"Assault"
3,"Larceny"
4,"Larceny"
2,"Larceny"
1,"Larceny"
4,"Assault"
1,"Assault"
3,"Larceny"
3,"Assault"
1,"Assault"
4,"Larceny"
2,"Burglary"
3,"Assault"
4,"Homicide"
1,"Larceny"
1,"Larceny"
1,"Larceny"
3,"Larceny"
2,"Assault"
2,"Larceny"
2,"Larceny"
2,"Larceny"
2,"Larceny"
1,"Larceny"
4,"Larceny"
4,"Burglary"
3,"Larceny"
2,"Larceny"
1,"Larceny"
3,"Larceny"
1,"Larceny"
1,"Assault"
2,"Larceny"
2,"Larceny"
4,"Assault"
2,"Larceny"
2,"Larceny"
3,"Burglary"
2,"Larceny"
3,"Larceny"
2,"Larceny"
3,"Burglary"
3,"Assault"
4,"Burglary"
4,"Larceny"
3,"Larceny"
2,"Larceny"
4,"Larceny"
4,"Larceny"
2,"Larceny"
1,"Assault"
2,"Homicide"
1,"Burglary"
2,"Assault"
2,"Assault"
3,"Burglary"
1,"Homicide"
3,"Assault"
2,"Larceny"
4,"Burglary"
4,"Larceny"
2,"Larceny"
2,"Burglary"
4,"Assault"
2,"Assault"
4,"Larceny"
3,"Burglary"
2,"Larceny"
2,"Larceny"
3,"Larceny"
2,"Larceny"
1,"Assault"
4,"Larceny"
2,"Larceny"
4,"Burglary"
2,"Assault"
2,"Assault"
3,"Larceny"
3,"Larceny"
2,"Larceny"
3,"Assault"
3,"Burglary"
2,"Larceny"
4,"Larceny"
2,"Larceny"
4,"Assault"
2,"Larceny"
1,"Burglary"
3,"Homicide"
3,"Assault"
4,"Burglary"
4,"Assault"
4,"Larceny"
3,"Larceny"
1,"Larceny"
2,"Larceny"
4,"Burglary"
3,"Larceny"
2,"Larceny"
3,"Burglary"
4,"Larceny"
2,"Larceny"
1,"Assault"
2,"Larceny"
4,"Burglary"
2,"Assault"
1,"Larceny"
4,"Larceny"
2,"Larceny"
2,"Larceny"
4,"Assault"
4,"Larceny"
2,"Larceny"
3,"Larceny"
4,"Larceny"
1,"Larceny"
1,"Larceny"
3,"Burglary"
1,"Larceny"
3,"Larceny"
4,"Larceny"
3,"Assault"
2,"Larceny"
1,"Homicide"
4,"Larceny"
4,"Larceny"
4,"Burglary"
4,"Larceny"
2,"Assault"
4,"Larceny"
3,"Burglary"
1,"Larceny"
1,"Larceny"
2,"Larceny"
